CODIGO;DESCRIPCION GENERAL;DESCRIPCION DE ELECCION;DESCRIPCION ESPECIFICA;PRECIO
1786;AGUA DE MESA;AGUA DE MESA BLUE WATER:;Agua de Mesa BLUE WATER x 20 Lts. PET;$ 0
1704;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes N° 000 x 15 Kg. Esc. BALDE  ;$ 173.048
1705;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes N° 00 x 15 Kg. Esc. BALDE                                   ;$ 164.144
1706;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes N° 0 x 15 Kg. Esc. BALDE                                       ;$ 154.604
1707;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes N° 1 x 15 Kg. Esc. BALDE                                            ;$ 135.209
1708;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes N° 2 x 15 Kg. Esc. BALDE                                          ;$ 126.306
1709;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes Nº 3 x 15 Kg. Esc. BALDE                                ;$ 112.951
1710;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes Nº 4 x 15 Kg. Esc. BALDE                               ;$ 99.596
1711;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes Descarozadas N° 00 x 12 Kg. Esc. BALDE ;$ 158.992
1712;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes Descarozadas Nº 0 x 12 Kg. Esc. BALDE ;$ 140.490
1713;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes en Rodajas x 12 Kg. Esc. BALDE                                ;$ 127.409
1115;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes Rotas x 15 Kg. Esc. BALDE;$ 102.334
1714;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes Rellenas con Pimiento Morron x 15 Kg. Esc. BALDE ;$ 173.048
1715;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN BALDE X 15 KG. ;Aceitunas Verdes Condimentadas en Aceite Nº 00 x 15 Kg. Esc. BALDE ;$ 210.459
1717;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN BALDE X 15 KG. ;Aceitunas Negras Naturales N° 000 x 15 Kg. Esc. BALDE ;$ 265.579
1718;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN BALDE X 15 KG. ;Aceitunas Negras Naturales N° 00 x 15 Kg. Esc. BALDE ;$ 248.056
1719;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN BALDE X 15 KG. ;Aceitunas Negras Naturales N° 0 x 15 Kg. Esc. BALDE ;$ 228.356
1720;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN BALDE X 15 KG. ;Aceitunas Negras Naturales N° 1 x 15 Kg. Esc. BALDE ;$ 182.098
1721;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN BALDE X 15 KG. ;Aceitunas Negras Naturales N° 2 x 15 Kg. Esc. BALDE ;$ 159.338
1722;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN BALDE X 15 KG. ;Aceitunas Negras Naturales Descarozadas N° 00 x 12 Kg. Esc. BALDE ;$ 210.733
1723;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN BALDE X 15 KG. ;Aceitunas Negras Naturales Descarozadas Nº 0 x 12 Kg. Esc. BALDE ;$ 190.840
1724;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN BALDE X 15 KG. ;Aceitunas Negras Naturales en Rodajas x 12 Kg. Esc. BALDE ;$ 147.075
1725;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN BALDE X 15 KG. ;Aceitunas Negras Naturales GRIEGAS  x 15 Kg. Esc. BALDE ;$ 192.661
1726;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS NEGRAS EN BALDE X 15 KG. ;Aceitunas Negras Nat. Condimentadas en Aceite Nº 00 x 15 Kg. Esc. BALDE ;$ 312.432
20;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes N° 000 x 5 Kg. Esc. GARRAFA ;$ 59.778
23;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes N° 00 x 5 Kg. Esc. GARRAFA                                   ;$ 56.810
26;ACEITUNAS CALIDAD PREMIUM;ACEITUNAS VERDES EN GARRAFA X 5 KG. ;Aceitunas Verdes N° 0 x 5 Kg. Esc. GARRAFA                                           ;$ 53.630
